Subject,Term 
art,Michelangelo
art,Bacchus
art,Michelangelo
art,The Last Judgment
art,Michelangelo
art,St. Peter's Basilica Dome
art,Auguste Rodin
art,Age of Bronze
art,Auguste Rodin
art,Honoré de Balzac
art,Auguste Rodin
art,The Burghers of Calais
art,Auguste Rodin
art,Gates of Hell
art,Gian Lorenzo Bernini
art,Triton
art,Gian Lorenzo Bernini
art,The Ecstasy of St. Theresa
art,Gutzon Borglum
art,Mount Rushmore
art,Gutzon Borglum
art,The Mares of Diomedes
art,Gutzon Borglum
art,Stone Mountain
art,Donatello
art,St. Mark
art,Donatello
art,St. George
art,Donatello
art,Gattamelata
art,Lorenzo Ghiberti
art,Florence Baptistery
art,Lorenzo Ghiberti
art,Gates of Paradise
art,Phidias
art,Statue of Zeus at Olympia
art,Phidias
art,Statue of Athena in the Parthenon
art,Constantin Brancusi
art,The Kiss (sculpture)
art,Constantin Brancusi
art,Sleeping Muse
art,Constantin Brancusi
art,Bird in Space
art,Daniel Chester French
art,Standing Lincoln
art,Daniel Chester French
art,Seated Statue of Lincoln at the Lincoln Memorial
art,Frédéric-Auguste Bartholdi
art,Statue of the Marquis de Lafayette in New York's Union Square.
art,Frédéric-Auguste Bartholdi
art,The Lion of Belfort
art,Robert Mills
art,Washington Monument
art,John Russell Pope
art,Jefferson Memorial
art,Thomas Jefferson
art,Monticello
art,Frank Lloyd Wright
art,Robie House at the University of Chicago
art,Frank Lloyd Wright
art,Johnson Wax Museum
art,Frank Lloyd Wright
art,Taliesin West
art,Frank Lloyd Wright
art,Larkin Building in Buffalo
art,Frank Lloyd Wright
art,Unity Temple in Oak Park
art,Frank Lloyd Wright
art,Imperial Hotel in Tokyo
art,Walter Gropius
art,"Fagus Factory (Alfeld, Germany)"
art,Walter Gropius
art,Pan American Building (New York City)
art,Walter Gropius
art,Bauhaus
art,Ludwig Mies van der Rohe
art,Barcelona Pavilion
art,Ludwig Mies van der Rohe
art,Lake Shore Drive Apartments in Chicago
art,Ludwig Mies van der Rohe
art,New National Gallery in Berlin
art,Ludwig Mies van der Rohe
art,Seagram Building in New York
art,I.M. Pei
art,Mile High Center in Denver
art,I.M. Pei
art,National Center for Atmospheric Research in Boulder
art,I.M. Pei
art,John Hancock Building in Boston
art,I.M. Pei
art,"East Wing of the National Gallery of Art in Washington, D.C."
art,I.M. Pei
art,Fragrant Hill Hotel in Beijing
art,I.M. Pei
art,"Miho Museum of Art in Shiga, Japan"
art,Sir Christopher Wren
art,Saint Paul's Cathedral in London
art,Le Corbusier
art,"Villa Savoye (Poissy, France)"
art,Louis Sullivan
art,Wainwright Building in St. Louis
art,Louis Sullivan
art,Babson House
art,Louis Sullivan
art,Bradley House
art,Louis Sullivan
art,Bennett House
art,Filippo Brunelleschi
art,Dome of the Santa Maria del Fiore
art,Filippo Brunelleschi
art,Spedale degli Innocenti
art,Filippo Brunelleschi
art,Old Sacristy at San Lorenzo
art,Filippo Brunelleschi
art,Pazzi Chapel in the Cloisters of Santa Croce
art,Frank Gehry
art,Experience Music Project in Seattle
art,Frank Gehry
art,Walt Disney Concert Hall in Los Angeles
art,Frank Gehry
art,"Guggenheim Museum in Bilbao, Spain"
art,Frank Gehry
art,Kobe's Fishdance Restaurant
art,Frank Gehry
art,Fred and Ginger buildings in Prague
art,Frank Gehry
art,The Easy Edges
art,Frank Gehry
art,New wing for the Corcoran Gallery
art,Frank Gehry
art,SoHo Branch of the Guggenheim
art,Andrea Palladio
art,Villa Rotonda
art,Andrea Palladio
art,Villa Barbaro
art,Eero Saarinen
art,Dulles International Airport in Washington D.C.
art,Eero Saarinen
art,TWA terminal at Kennedy Airport in New York
art,Eero Saarinen
art,Gateway Arch in St. Louis
art,Eero Saarinen
art,Kresge Auditorium at MIT
art,Antonio Gaudi y Cornet
art,Casa Mila
art,Antonio Gaudi y Cornet
art,Casa Batllo
art,Antonio Gaudi y Cornet
art,Expiatory Church of the Holy Family (also known as La Sagrada Familia)
art,Robert Rauschenberg
art,Global Loft (Spread)
art,Robert Rauschenberg
art,Stoned Moon lithographs.
art,El Greco
art,Christ Driving the Money-Changers from the Temple
art,(Expulsion from the Temple)
art,Grandma Moses
art,Apple Butter Making
art,Grandma Moses
art,Sugaring Off
art,Grandma Moses
art,The Old Checkered House
art,Grandma Moses
art,Catching the Thanksgiving Turkey
art,Norman Rockwell
art,Freedom of Speech (Part of FDR's 4 Freedoms)
art,James Montgomery Flagg
art,I Want You (Uncle Sam)
art,Norman Rockwell
art,Freedom From Want (Part of FDR's 4 Freedoms)
art,Norman Rockwell
art,The Problem We All Live With
art,Norman Rockwell
art,Freedom of Worship (Part of FDR's 4 Freedoms)
art,Norman Rockwell
art,Freedom From Fear (Part of FDR's 4 Freedoms)
art,Norman Rockwell
art,Triple Self-Portrait
art,Joe Rosenthal
art,Raising the Flag on Iwo Jima
art,(Mt. Suribachi)
art,Mathew Brady
art,Most Famous Civil War Photographer
art,Ansel Adams
art,American photographer.
art,Richard Avedon
art,Annie Leibovitz
art,Carl Van Vechten
art,James Abbot McNeill Whistler
art,Whistler's Mother
art,Jean-Auguste-Dominique Ingres
art,The Grand Odalisque
art,Jean-Honore Fragonard
art,The Happy Accidents of the Swing
art,Caravaggio
art,Musicians
art,Raphael
art,The Triumph Of Galatea
art,Jean-Francois Millet
art,The Gleaners
art,Anthony van Dyck
art,Charles I in Three Positions
art,Caspar David Friedrich
art,The Wanderer Above The Sea Of Fog
art,Pieter Bruegel the Elder
art,Tower of Babel
art,Hubert Robert
art,The Pont Du Gard
art,El Greco
art,View of Toledo
art,Edgar Degas
art,A Cotton Office in New Orleans
art,Titian
art,Bacchus And Ariadne
art,Gustave Courbet
art,The Sleepers
art,Thomas Eakins
